,Text,Analysis
95,Happy Mothers day to all you Mums out there,1
96," CASEY`S GONE?!?! BUT WHY?! So, she piddled a little on the carpet. She`s prolly freaked cause it`s new. Can we get her back?",0
97, hemp cloth is marvelous but unfortunately no,1
99, We saw that in none 3D - the baddie`s the best,1
100,4am. And Im on the beach. Pretty,1
101," Certainly not Cheers than, huh?",0
102,"1 week post my'horrible, traumatic jumping cholla accident.'-cholla`s next dirty trick:pieces are starting to emerge from my hand! Ouch!",0
103,i realy wanted to go out cause its so nice but everybodys busy,1
104, Awesome.  I`m down in Ocean Beach (if you know where that is.) By the way. 'YourBiggestFan' I`m a re-al big fan of you-rs.,1
105,at least I get to watch over time  Let`s go Pens!!,0
106, cool i wear black most of the time when i go out,1
107, haha I do not know how to work blip apart from the obvious! thanks for reblipping my song  have a nice day ****,1
108, have a safe trip joshy poo.......you`ll knock them dead at your speech,1
113, ACSM. it`s unfathomable.  i think the other one .. and the .. is one that should be kept to the comfort of our bedrooms. yes?,0
114,"Aww, I love my daddy! He works 7 days a week almost all day and still tries to go to SF with all of us",1
115,So many tests todayyy  I don`t feel confident about anyy.,1
116,graduation is done  im a little sad.. anyone want to hang out???,0
119,"I hate Fallout 3 it keeps making me jump, I`m also low on health, money, ammo and food  don`t worry I`ll get through it.",0
121,What`s with the gloomy weather? The sun must be too tired to come out and play  heading to victoria gardens for some impulse buys haha,0
123," Poor you  Get outside and sleep in the garden, the sun will do you good. But don`t forget suncream!!!",1
127, Absolutely,1
130,"Shopping. Cleaning. BMFing. Webcam chatting with nephews. Nothing spesh, but a good bank holiday Monday nonetheless",1
131, =O you need to ask him something? Lmao I love him too,1
132, those splinters look very painful...but you were being very heroic saving mr. Pickle,1
133, why are you sad?,0
134, Nice to see you tweeting!  It`s Sunday 10th May and we`re celebrating Mother`s Day here today. So be nice to yer Mom,1
135,decided 2 trans frm relaxed 2 natural hair but i wish my whole head looked like my roots.  Age of the instant gratification....,1
139,"missed all the awesome weather, because she was in a movie!",1
140,Today is going to be a normal day for I hope. We had a group of pilots from a large airline come in last night so it was too much drink,1
141,"These kids are terrible! If I was in Good Evans, I`d call Childline",0
142,"Unfortunatley, AerLingus no longer fly to Copenhagen so we`re have to fly Ryanair to Billund and drive up to Copenhagen one of the days!",1
143," What`s sad is that I actually had to google that term. That sucks, tho.",0
144,Hate fighting,0
145," I watched that too!!! I didnt want her to win, but she put up a good fight..lol",1
148,Candle wax is very enjoyable.,1
150,tomorrow valeria`s lunch!!! going to get my hair done but im arraving late   got my cousins babtizm or whatever you spell it,0
151,goooooddd morning tweets!!  week three OF my workout. did i mention i got my new glasses yesterday?!?,1
152, me too. I hate my computer so much..,0
153, fine! Going to do my big walk today 20 or so miles,1
154,I WANT RED CRUISERS!!  i don`t like the other ones. LMFAO!,0
159,"_Laurie sending love, blessings & healing thoughts to you & family  peace",1
160,My back hurts...really bad,0
163,My modem has been offline for a week now... God bless the 3g network. Tim just left... Again!! May schedule has been brutal,0
165, Had parent teacher thing yesterday!! So boring going to skl on saturday!!  lol,0
166,    sounds like fun  Hope to see you and everyone else there!,1
167,Big booming thunder storm almost here.  Maybe we can all go home early???  Ah... probably not.,1
168,Few Bevvies 2day in twn..great on a day off!!,0
169,first night in myers. just not the same w/out lydia!  but i`m actually excited about this summer!,1
170, good morning,1
171, its the best show EVER!,1
172,URL in previous post (to timer job) should be  I`d removed space which messed up URL.  ^ES,0
173,i think iv hurt my tooth  and eilish and cassie are having a drawing competiton to draw cookies and pineapples haha :L .,1
175,or even NOOOOO NOT THE SECRET NAMEREBECCA PLEASE,0
176, I miss my neice  can`t wait to see her bad n grown ****! Lol,0
177,i need to get my computer fixed,1
178,really hopes her car`s illness is not terminal...,1
179,"All the cool people I want to find for following today are , and I guess the English don`t tweet.",1
181,who watched X-men origins: wolverine? i totally loved it! haha,1
182, I VOTED!!! do u have a personal myspace? i keep talking to fakes   i <3 you. u helped me thru the hrdest time of my life! (: x,1
183, I`m sad that I missed you guys last night!,0
184,Finally got a call for marriage counseling 3 days late....,0
185, ok then,1
187,today was the last day of high school for me and i ended up going home sick! ... stupid dead rats,0
190,happy 1 year! <3,1
191,"Oh, I HELLA forgot to say my official good morning  Like to hear it? Here it go! Goooooooooooood Morrrrrrrrning Twitterville! Lol",1
196,im soo bored...im deffo missing my music channels,0
197, nite nite bday girl  have fun at concert,1
198,"Had nicotine replacement patch on for 4 hours. So far, so good, but I did sleep for most of those 4 hours. Getting a bit twitchy now",1
199,_Sanderson What`s with Twatter lately?  Either I can`t get on or the replies don`t turn up!,0
201, -  hate when my PARKED car gets hit,0
203, more nightmares?  *huggles*,1
204,I AM SUCH A CREEPER  I feel disappointed because of it. **** my cyberstalking skills   the internet = no more privacy.,0
205,going to bed its late and I have headache,0
206,happy mother`s day to all moms out there...,1
208,im thinking that im going to have fun tonight....and maybe some changes are coming,1
209, thanks. before the major chop.,1
210," Haha I know, I cant handle the fame!  and thank you!",1
212, yes! sober HAHAHA tanghaling tapat dude! haha WILD. i don`t knowwww  plan plan  before you go to US!,1
213, We never miss ICarly - my son has a huge crush on Miranda,1
214,Saw James carville in the store today. His head is really that bald,1
217,Feeling smooth like chrome,1
219,"downloading songs while trying to sneak a lil homework in too, which should be my main priority not songs lol",1
222,Bad day  The day you realize what mess you`ve put me through will be one of the happiest days of my life...,0
223,Walking to class. I hate not having a bike....especially mine.,0
225,"failed inspection. Did you know you can pass wo/oven, but not wo/anti-tip bracket, which is only sold w/oven? This is worse than taxes.",0
226,"JONAS BROTHERS - Live to party.                It`s rocking so hard     I love the song,",1
227,happy mother`s day to all the mothers in the world.,1
228,"35mins through the 1hr 20mins Google Wave demo, that looks a lot of fun, would love to test it though.  ",1
229,Sleepy Tabz is heading to bed.  Fun night! Listened through the next episode of Joss`d!,1
231,"Screw the reviews, I thought Wolverine was awesome. But not enough Dominic Monaghan for my liking.",1
232,"If you followed us recently, PLEASE dont be offended that we haven`t followed back. We hit our limit.   Hopefully we will be free soon.",1
234," Hmmm, maybe that`s what they meant. They eluded to something brand new but you know how the media is",1
235,Done at the spa   now meeting vic for some late lunch!,0
236,Happy monday  up and about going to tavares today. Hope everyone has a blessed day!,1
239,  - Cool... luv it,1
241,Okay so I`m dedicating my 300th tweet to the fact that I`m going to the Apple store because there is a HUGE crack on the glass screen!,1
244, was that sass I detect?  As long as it isn`t back sass! Haha,1
248,"Wolverine Was BOSS! Seriously, And Will.I.Am Was In It, What The **** ??",0
249," I live for pain, bring it on",1
250,"okay, i`m out for a while  back later!",1
253,Waiting for tish to get off. Got to drive my moms CRV to pick her up all my myself and duckie. First time,1
254,"Trying to decide on a movie with the friends.. not going to well! lol :p  No bible study 2nite, which means ****-day cake  buy my own??",1
257,"discovered cause of a bug in the new  4 build. Publishing bug fix now, hopefully new beta by tomorrow",1
258,Here are 4 FREE twitter tools will get you followers     ,1
259,just got home from work.... and is chugging down a big bottle of apple juice.,0
260, Yes it does. Please dont` go. If you die I will cry.. which normally leads to small animals getting harmed,0
261,writing report cards  soooo tired but what an amazing day. check it out on fb soon!,1
263,good news: finally finished my  workout that has been paused for 6 hours. bad news: my resistance band is torn,1
264,"Well good morning all, What a wonderful day in the neighborhood  Thanks for all those that are now following another 60 this morning",1
265,FTSK and Mercy Mercedes were amazing tonight.. as always,1
266,  hope he is ok!,1
267,can`t school just be done already? it hurts too much... seeing him every day,1
268,"I waited, listening to wind blowing through the tumbleweed? Are none of you old enough to know what to do when someone says 'Crackerack'?",1
272, huh what the ****? Smelly? Noooo. I love alex Vixon,1
273,"Went to a party last night. Dindin and I showed up in matching outfits ) GREAT MINDS THINK ALIKE ) Anyway, happy birthday, ate lara",1
274," Happy b-day! Just woke up on this side of Earth, so wishes are bit late",1
275,"thank you for teaching me values and to be a better person each day  I LOVE SO MUCH, YOU`RE THE BEST MUM IN THE WORLD",1
276,HAPPY MOTHERS DAY.!,1
277," *laughs* I`m glad that you have self confidence - it`s a wonderful trait to have  I`ll applaud extra loud for it, okay?",1
278,  Thanks,1
280,Getting ready for week  Its too nice today to be stuck inside working!,1
282,"Felt like ****, behaved like my son; ate to compensate. Pigged out on home-roasted sugar almonds. Painful tum, threw up, still feel sick.",0
283,Happy Mothers Day people. i love my mom a lot still,1
284, I`m sorry to hear that.,0
285," That`s awesome dude, yay for surprise celebrities!  I got to meet him a few years ago, he was soooo friendly.",1
286," it makes me happy to hear a girl talk, or tweet, about the nba. but... could you give my nuggets some love?!",1
288,You know your neck is jacked up when you are forced to pay for parking bc you can`t turn you head to parallel park in the free spaces...,1
291,"bathing with two little angels, Keyla and Janice.",0
292," Yep, finished, chocked full of spelling and grammatical errors, but I`m cleaning it up tomorrow and popping it up  hehe",1
293, HAHAHHA lol true that! i always remember my BD but i can never remember what date or even day it is,1
295,Watching Ellen Love her!! then doing the dishes  and tanning ...it`s gorgeous out!,1
298," Morning! If I get to see it, I`ll let you know. Right now, I`m going to go see Wolverine.",1
299," red top tabloids, build em up, knock em down",1
300,tonight in party w/ my girls (minus vita),0
301,  why not now you made me sad I thought you`d be jumping for joy,1
303,"The pics I just uploaded are the baby pics of my cats. Missy is now an adult and a pretty little kitty, but Batty is in kitten heaven now",1
304," I saw the play of it here, it was amazing",1
305, _ i am glad to break my twitter virginity with you two.,1
307,"_Live That`s what I want. More the better. Bound to be a few bad eggs though, but they will soon learn.",1
309," I know   It was worth a shot, though!",1
310,"Just opened a facebook account, I`m a little confused I don`t really get it. Twitter seems much better",1
313," Not going to dwell on it. It happened, it`s passed. Just a shame as he was so supportive! Such is life!  x",1
315,It looks like the office TV DOES get MLB Network... and it looks like MLBN will NOT be televising the DET/BAL game today  ,0
316,Home empty handed.  No comics found today.  I shall now indulge in my cupcakes from Magnolia Bakery.,0
318,today is a busy day. exhausting!,0
319," I was going to go on Sunday, but now I`ve got too much going on that weekend",1
320, Sorry to hear ur flight got cancelled  that blows!!!,0
321,ohh my tooth is hurts ohh  im sad it very hurts,0
322,"Before I get too distracted, I`d like to thank my new followers for taking the trouble to follow me! And to my others: feelin the love",1
324, Not sure it didn`t say it was 2 big. I jst saw the pics of u on ur last bday. You looked so pretty!! I miss you!!,1
326,mcfly gig last nightt omg it was amazin didnt sit down through the whole thing  mcfly did you see me and ma best mate we were in tutus,1
329,?sucks!?..,0
332," doing pretty well, up and wide awake",1
333,"i want to wake up early, and get a coffee tomorrow (today) !  it`s going to be a busyy day! but have to keep writing.. booo whoo!",1
337,"My frist post... Off to find a new car for my parents, exciting!",1
338,Argh noo! Missed The Killers on Wossy!  That sucks! Missed out on Brandon. Total failure! Anyone know if it`s repeated? Must investigate!,0
339,seriously bored without anyone to talk to... but not tired enough for sleep,0
340, I am lost. Please help me find a good home.,1
342,Ok so I`ve now got a bit of a bad back after lifting all drum hardware into my car   downer.,0
343, LMAO... Smh!  that one threw me off.,1
344, oh nice going!,1
345,Is getting ready for work... Working all weekend,1
349,"90 degrees, gross skies, and thunderstorms...perfect match for my mood  lol",1
350,_2nd aww thanks!,1
351, Sorry RB is on PS3 for me,0
352,I saw amazing heeels. But they were too big,1
353,I just stuck my finger down my throat and there are a bunch of bumps on my tongue & throat.,0
354,dang last url went down  ? ~7aigm,0
356, Damnit all. That sucks.  You were one of the ones I thought I`d drag back lol,1
358,this is sooo crazy i have fever..,0
359,is spending her Saturday morning taking notes for a research essay because some stupid **** recalled the book I`m using. Not fair,0
360,I think i need some new friends,1
363,aww  you loooove me,1
365,awesome lucky you,1
366," yea, i should know.. but tell me EVERYTHING!  ps: send me direct messages telling..   haha",1
367," haha im jewish, i love that one",1
368,"had a great time out in the beer garden wit the boyos !! I think the sun got to me a bit though, feel a bit ill !!",1
369, l`m on 3 days too matt. No fun this weekend.,0
370, u really don`t think so?  maybe ur right....lol. btw what phone u using? think u told me b4...i might have an app for u,1
373, Sadly no. It didn`t come with one...,1
376, aww I miss driving down elmwood,1
377,Omg Wango Tango was **** AWSOME! I love my baby for taking me,1
378,"Version 2 of our live, interactive Trans-Siberian ticket planner is launched:  - its very cool",1
379,_30439 I really wish I could go!,1
380," yeah real hard, but I know you`ll get by with it... smile",0
381, I`m 25 in december that`s not good at all next big birthday is 30  after 21 it flys by for sure,1
382,  This has made my night!!  Way too funny!!,1
383,Woo CAVS.  Happy Mother`s Day!,1
388, Thanks for the warm welcome! We didn`t make plans   because our arrival time was so up in the air.,1
390, sorry  friends - I`m swamped with deadlines right now and we have family visiting to boot! No charades for me.,0
396,Laying ALONE!! Since Mook`s soo comfy in his f`n play pen. I thought it was ill at first now I don`t have no one to cuddle with...,0
397,I hate the dentist,0
401,writing my english original writing storyyyyy. and listening to `a little respect` by erasure  aaaaaah.,1
402,needs more followers,1
403,I wish I could get my nails done  stupid job,0
404,The little wormy from labyrinth sadly passed away today but its ok as hes still around in a happy ghost form aww  ,1
405, the 'no pants' idea could be the new attempt world-wide to attract business back to the airlines.,1
406, Have a good one,1
407," yep infact she is popular, miss india 99, talented film actress .... and lot more",1
409,Daniel has won DSDS. His voice is great.,1
412,_x_ATL u mean jack barakat`s?! wow so have u ever gone to his house? Hehe i mean ur ssoo lucky to have the address!,0
413,I sure do hope it becomes 4:20 this afternoon ...,1
414, it means that you are now FAMOUS. Congrats!,1
415,My phone passed away yesterday.. He jumped off the table  Searching for a new phone...,1
416,"I have such fantastic friends, including several ones met through here! thanks for being in my life - you are such amazing people!",1
417,tamlyn wishes she was as cool as my sock draw,1
421,"Yes, I love tea. If that makes me typically English then so be it",1
422, a mouth for sure,1
424, pancakes!! with lemon and sugar thanks!,1
425," Si, no bueno  I guess I just don`t entertain him :/",0
426,I`m so hunrgy right now and these heels kill me I can hardly walk in them,0
427,both electronic keys stopped working. there is no keyhole! cant get in my car. so much for technology,1
428," Yay, three followers! Good to know more than one person in this big wide world likes fishies.",1
429,'my name is Tony!!!!!! ...not hey!!!!' -  poor tony,0
431,Took a shift tomorrow.    I don`t really feel like working right now.,1
432," I love mine, too . happy motherï¿½s day to your mom , John Taylor  . much love to you, too .",1
433,Saw a black snake in the garden.  Went back for a picture and it was gone,0
434, - We bought Ludi her own rug. Dogs are the best,1
436,loves her mum very much! Happy Mothers Day to all the wonderful mothers out there,1
438,"i have an urge to play wow but i have to wait 2 weeks til im at my dads! 5+47DAYS TIL MCFLY, im so excited  (L)",1
439,Ok ... the passengers ... no one is alive ... they`re all dead ... you just don`t know it til the end ... then you cry ...,1
441,"is chilled out tonite, so cannot spew venom or write funny. Seems like these are the only 2 styles she has",1
443,aaaaaw i want to live in the USA,1
447,"  That makes my day so much better, it`s been a rough one. Did I mention I love the new photo!",1
452, lol dammit  well then next time then,1
453, lol. just don`t ever forget me,1
456,NOW IM SAD BUT IM NOT GIVING IN FIRST..I DIDNT DO NOTHING!!!!    :**-(,0
457,this week of mine was not easy!  but finally it`s over! (:,0
458,   Wow what a beautiful picture... and by the way....I am straight....just wanted to let you know!!!     Bella,1
459,In Arch. Drawing. Checking out MVCC`s CAD degree. Looks good to me,1
460," 'there are people and then there are pencils' some are sharp, some are not and some can be sharpened  my pencil philosophy.....",0
461,"just about to go home. I`m usually `mr. positive` but this has been one of those daze. well, 15 mins until tomorrow!",1
463, you know you want to come keep me company whilst mum`s at her friends for the night  it`s such a nice evening!,1
464,cooking with my dad  having lots of fun in the kitchen together,1
466,Off to Woolsery this morning to (hopefully) see North Molton U16 clinch the North Devon League title. Lovely day for it,1
468,"  you`re missing out, bb! i`m such a cereal nut, i think i like every kind available.",1
469," That`s just weird... :\  Oh, and what was it you were drawing for me?",0
470,Just woke up :o mums singing to her new gn`r cd replacement i bought because im a good daughter,1
471,"The birds are out,, oh man... That`s NOT cool && I didn`t sleep yet for the night!!!",0
472,"250 miles down, only 1750 to go. Thats ok, u2 on the radio alwas helps.",1
473,"My Street Fighter IV skills are lacking, can`t beat Seth on easy.",1
474, FIL 461 with cool people like me,1
475,Good Morning!!! Work and then it`s ESPN`s Sunday night Baseball. hopefully it won`t get rained out,1
476, i think it`s under a honeymoon by the good life -- either that or it`s under a honey moon by joseph arthur.,1
477,my son got stung by a bug for the first time  his little finger is slightly swollen.,0
480,Bumping dj opus in the drunk in the car.  lmao. Don`t act like u don`t know.,1
481,Why kiss the feet of the people who kick you when you can be anything that you want to?  morning everyone! Hope you have the best day ever,1
482,Here`s a brief preview:    OMG James is creepy in that role! I`m scared of him,0
483,I`m missing crab legs and attending my going away instead!,0
484,Hicks are mean!,0
485,"gettn ready to take a trip to Jersey my dad`s not doing so good, he needs a new heart~whoeva see`s this please say a prayer for my dad",1
487,I`m up. I have a plan to transform my bedroom today. Random.,0
488,"Home until tomorrow. Did my running and spinning. Now time for chiropractor, laundry, shopping, and visiting family. Missing nathan",0
490," And most of us are going to be stuck in an office, some without windows",1
491, No it`s not sad. Should make you proud,1
492,"   Sorry, we`ll try to keep it down.",0
494,"According to , a quarter of families under six live in poverty.",1
497, congratulations ! you guys finish a month early than we do. booo,1
500, but my bday is JUNE 19.. this is wack... and ihavent seen any promotions for my bday party  someone better finagle this asap!,1
501," It would be great if those VIPS were for some acts I`d enjoy seeing, but noooo.",1
502,_Marie Wish I could make it too!!! I hate my commute sometimes,0
503,workin a long day today... hopefully i can make some good tips,1
504, but it all went too quick and there wasn`t a chance lol,1
505,Hates headaches! Maybe I`m not ready to rock,0
506, Thanks for the support,1
507,there`s really no android twitter app of Tweetie`s calibre,0
508,"had a good day driving up mountains, visiting katie, eating chips & fudge and stocking up on lovely smelling soaps",1
512, lol same here....wish there was a way to microsize everything...lol,1
513," 'organization ...ITIL, forget about people (and so they fail)' preaching to the converted  IT is the people ",0
514,"_Libertine um, glad you enjoyed it...",1
515,About to have dinner and then an evening of playing cards. Already packed and ready to head home tomorrow   Do we have to go home?,1
517, He says he feels mama tucking him in at night  He`s lonely but getting by. Tomorrow will be tough!,0
519, sounds like you all had a great night . i`m glad it was successful,1
520, Thanks for sharing that,1
523, nah jkin he`s hot! so... bored now,0
524,Ahhh i`m sqeaky clean and fresh. Even though i`m wearing dirty clothes  I love Two and a Half Men - it`s amazing!,1
525, yes i have read them many times.,1
529, AWWWW  we`re gonna miss you!,1
530, WE Quite Like Worthing its a relaxing place with nice coffee shops and fresh air.. and not too many Oiks,1
531,"_terrible haha, that was new  the fact that he couldn`t do it should have cost his part. What kind of Spock is that!",1
532,today was a lovely day! I had fun with  and  this evening!,1
533, Beto`s Pizzeria is on Banksville Rd in I believe the Beachview area... Sorry to answer like 100 years later,0
534,"sigh, my sisters bein strange.. she came all the way from copenhagen to london, and now her phones turned off.. i wanna see her dammit",0
535, it was amazing,1
537,I`m sick and sad .... missing out on Martini Lounge tonight,0
538,Seems really quiet tonight...am jealous of those who are clearly having a more exciting life than me   Off to bed I think...,1
539,Really wishes he had some spare cash to buy the new Punch Out for Wii,1
541, So sorry to hear about your mom! that really sucks,0
542, I feel for you  I hope it`s a smooth flight. Be safe! Mucho amor from Boston!,1
543,Can`t sleep...so I`m watching HGTV. I`m afraid infomercials are about to take over,0
544,I`m getting me & my family ready for Kaylee`s graduation! It`s gonna make me so sad.,0
545, sweet dreams,1
547,. Okay kool... I might be touring all summer long but we can make it happen!,1
549,"Time to watch OP, then some Dead Like Me, then sleep.",0
551, haha thanks  its for history and its on how the invention of television has influence america lol,1
553,"Stupid jobs, idk what to do.",0
555," Like your pics, Lucky Girl, again",1
556, Thank you   I`ve had anxiety issues for years so I think if I can make it through the first couple of days then I will be fine.,1
557,Around 3 hours left until a 3 day weekend and I have waaaay too much work to do.,1
558,Feeling loved!  My Mom got me a Nikon Cool Pix for my birthday!!!!,1
561,i have such a hard time talking to new people -  I am pretty sure I didn`t make a good impression.....,1
562,_rc234 haha  yup. but still have a terrible headache and super swollen and puffy eyes! i dont think im going out today.ugh!,0
565,"We are on the slowest train ever, it stops everywhere. Missed a quick train by a few minutes",1
566, nup no cd either.. just a whole bunch of zeros and ones you can have for free,1
567,My graduation day... And i feel like a failure...,0
568,ops   that lol wasnt supposed to got to twitter,1
572,bad hair day,0
574,sorry guys i didn`t sign in for a while  sorry every1,0
575," I am just `okay-okay` .. like the rest of the sane population in the world, I hate mondays",0
577," i think i am a bit, in love with his creations and wit but not that physically attracted to him although he has great style",1
578,_a_michael Hey! thanks for another great day! I`m going to sleep now! I`ll chat with you tomorrow!  Sweet dreams!,1
579," I bet its cool down in SR, huh? It`s not here. I haven`t stopped sweating since noon when dad and I were packing",1
580," OHSHNAPSSS. is she pissed at blair as usual ? hahah. & yeeeah, i bake cookies",0
581, no bueno.  hollykins needs to feel better asap.  p.s. i miss you.  you done with uni soon aren`t you?  SOPROUDOFYOU.,1
582,"  - cool! you and your mother have awesome hair styles,! Wish her a happy mother`s day!",1
583,happy mother`s day mothers.,1
585,Stupid bipolar weather ruined my day off,0
587, nice beta for easports still no news on the online for madden,1
588, thats pretty bad quality and probably the worst pic u posted till date,0
590, Unfortunately for us it looks like there are NO funny people on twitter  Should we move to FB or start our own...flitter,0
591,just came back from karaoke & eating dinner with emily. it was sooooo much fun,1
592, Discrimination is not a bad thing. I`ve learned to say no. My children would say I mastered that years ago,1
593, sure i can talk....the fabulous **** part though is out  sorry dear,1
594," did you see the 15 sec clip of the New Moon trailer?? its up on ETonline.com ...check it out. its a big tease, though",1
595,Just got back from working out. I`m feeling pretty good. work at 4:30,1
597," So!!! Why should that matter? I bet you would be GREAT at it! I do!!! It`s what you love, right? Why not go for it!",1
600,working on diffusing that irritation but this traffic sure isn`t helping  mother F! it`s always real bad the days th@ i help plan stuff,0
602,Catching up on 2 weeks of LOST and Grey`s!!    House is quiet again.,1
603,I love when ryans a housewife. Makes me smile.,1
604,Sooo.....I`m kinda o sick n tired of the bs that guys dish out  !!!!!!!!,0
605, boo... i was hoping for a fake alien story with a tinfoil covered beachball photo,0
610,_ranjan Did I ever mention what a nice and awesome dude you are?,1
612, Hello Gorgeous GIRL! Nice new pic!  HOw are you today,1
613,Ok that **** duet was hysterical LOL,1
614,"ok, i have to turn off all of my twitter device updates until i get a new battery. phone goes from fully charged to dead in about 5 hours",1
615,michelle is a hot mama with chichis grande,1
616," either way, you always tend to make my  list, sweetie - you do rock that much",1
618,"watched 100th episode of numb3rs. loved how they did a throwback to the first episode, using the sprinkler theory",1
620, Please get a cell phone with a better camera on it... your pictures are real bad quality compared to those that Miley took,0
622,"booziest weekend in a long time, good fun though!",1
624,"planning! and trying to call the doctor, though that isn`t going so well. So mostly, planning",1
626, Ok then have a good day,1
627, I agree. Everybody would`ve been excited and then it goes... ohhhh nooooo..... MS screws up again..,1
631,is anyone out there??  so bored at work...,0
632,Am hating my life at the moment. There`s only so many NOs my delicate little mind can take,1
633,www.myspace.com/fashionisthenextcity  check out and started new tee`s  limited edition in different ways !! check facebook group too,1
635,Thinking of what I should do in Vegas??? Any good ideas or places that are a most see!??,1
636,first day of summer sucks!!!! its overcast and cold...  this isn`t summer!?!?!?!?,0
638,says Happy Mother`s Day to all Moms out there  ,1
639, oooo ok   why  havent you accepted my friends request,1
640,sorry to tweet about BGT but poor wonderful crazy weird Greg  so not fair. the silly little girl is never going to cope. urgh. NOT FAIR.,0
642,_michele thanks for that...am now following them...love good causes,1
643, Not available in my area  I would too,0
644,Its Friday! Only 5 more hours until I`m free!.....until tomorrow.  oh well,1
645,meeting just in time that iï¿½m trying to win something  prize`s friday!,1
648,"`s plans didn`t go as followed, but its ok",1
649, _what_ did you do?  Let me guess... you skipped sports and bought a new pinkish outfit?,1
653," lol i know but it was just so funny, ahaha",1
654,Wide awake and grouchy as ****.,0
655,"just when i thought things couldn`t get any worse. it just did. and it will get even worse tonight, i bet.  my life is a misery.",0
657," lol hi emmy, latin would help me study for the aptitude tests to get into grad school ;\ thats why i wanna take it",1
659,_kap But I think it`s cute.  Do this every night okay?,1
